"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2013","133.77","132.99","133.86","132.89","9.64M","2.44%"
"01/03/2013","133.63","133.64","134.05","133.31","8.67M","-0.10%"
"01/04/2013","134.06","133.70","134.20","133.49","4.76M","0.32%"
"01/07/2013","133.51","133.69","133.73","133.16","6.12M","-0.41%"
"01/08/2013","133.06","133.32","133.50","132.74","4.27M","-0.34%"
"01/09/2013","133.71","133.40","133.98","133.40","3.90M","0.49%"
"01/10/2013","134.54","134.20","134.58","133.62","6.00M","0.62%"
"01/11/2013","134.72","134.46","134.80","134.21","4.51M","0.13%"
"01/14/2013","134.89","134.66","135.00","134.40","4.30M","0.13%"
"01/15/2013","135.08","134.29","135.26","134.24","2.97M","0.14%"
"01/16/2013","134.89","134.62","135.05","134.54","3.20M","-0.14%"
"01/17/2013","135.83","135.37","136.19","135.23","6.23M","0.70%"
"01/18/2013","136.09","135.81","136.16","135.42","4.92M","0.19%"
"01/22/2013","136.74","136.13","136.77","135.92","4.55M","0.48%"
"01/23/2013","137.46","137.19","137.63","137.14","6.40M","0.53%"
"01/24/2013","138.02","137.59","138.49","137.57","6.29M","0.41%"
"01/25/2013","138.62","138.39","138.63","138.04","4.46M","0.43%"
"01/28/2013","138.65","138.85","138.88","138.30","3.17M","0.02%"
"01/29/2013","139.23","138.44","139.38","138.44","3.95M","0.42%"
"01/30/2013","138.76","139.23","139.37","138.67","5.50M","-0.34%"
"01/31/2013","138.41","138.76","140.22","138.32","3.94M","-0.25%"
"02/01/2013","139.74","139.29","139.89","139.04","5.24M","0.96%"
"02/04/2013","138.57","138.81","138.98","138.36","6.54M","-0.84%"
"02/05/2013","139.39","139.24","139.85","139.21","5.82M","0.59%"
"02/06/2013","139.58","138.88","139.70","138.88","3.12M","0.14%"
"02/07/2013","139.29","139.59","139.64","138.32","6.64M","-0.21%"
"02/08/2013","139.73","139.37","140.03","139.37","3.57M","0.32%"
"02/11/2013","139.52","139.62","139.68","139.21","2.54M","-0.15%"
"02/12/2013","140.05","139.59","140.21","139.51","3.50M","0.38%"
"02/13/2013","139.87","140.23","140.36","139.50","3.39M","-0.13%"
"02/14/2013","139.86","139.38","139.96","139.26","3.05M","-0.01%"
