"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2018","1,721.60","1,731.20","1,751.68","1,716.48","0.14K","-1.32%"
"01/22/2018","1,697.93","1,697.93","1,697.93","1,697.93","0.00K","-1.37%"
"01/23/2018","1,724.80","1,708.80","1,724.80","1,708.80","0.04K","1.58%"
"01/24/2018","1,770.24","1,785.27","1,785.27","1,770.24","0.03K","2.63%"
"01/25/2018","1,770.24","1,770.24","1,770.24","1,770.24","","0.00%"
"01/26/2018","1,770.24","1,770.24","1,770.24","1,770.24","","0.00%"
"01/29/2018","1,893.12","1,868.80","1,893.12","1,868.80","0.02K","6.94%"
"01/30/2018","1,955.20","1,970.56","2,035.84","1,951.36","0.99K","3.28%"
"01/31/2018","1,961.60","1,917.44","1,963.52","1,917.44","0.14K","0.33%"
"02/01/2018","1,862.87","1,929.60","1,929.60","1,850.88","0.17K","-5.03%"
"02/02/2018","2,102.40","1,922.56","2,131.20","1,921.92","0.46K","12.86%"
"02/05/2018","2,807.04","2,172.16","2,839.68","2,088.32","0.82K","33.52%"
"02/06/2018","2,759.39","2,944.00","3,718.40","2,759.39","0.19K","-1.70%"
"02/07/2018","2,850.56","2,799.36","2,885.76","2,682.87","0.43K","3.30%"
"02/08/2018","3,531.52","2,907.52","3,531.52","2,903.04","1.57K","23.89%"
"02/09/2018","3,217.92","3,182.08","3,609.60","3,136.00","0.69K","-8.88%"
"02/12/2018","3,107.20","3,089.92","3,205.12","3,072.00","0.23K","-3.44%"
"02/13/2018","3,070.08","3,123.84","3,139.84","3,046.40","0.57K","-1.19%"
"02/14/2018","2,718.72","3,028.48","3,029.12","2,708.48","1.40K","-11.44%"
"02/15/2018","2,656.00","2,625.92","2,741.76","2,616.64","0.21K","-2.31%"
"02/16/2018","2,695.68","2,700.80","2,735.36","2,595.84","0.29K","1.49%"
"02/20/2018","2,805.76","2,764.80","2,859.52","2,744.96","0.69K","4.08%"
"02/21/2018","2,848.00","2,778.24","2,850.56","2,629.12","2.23K","1.51%"
"02/22/2018","2,810.88","2,767.36","2,848.64","2,739.20","0.87K","-1.30%"
"02/23/2018","2,591.36","2,721.28","2,743.04","2,590.08","0.87K","-7.81%"
