Date,XLE,QQQ,VXX,XLF,XLP,XLC,XLB,XLU,XLV,IWM,XLY,DIA,XLK,SPY,XLI,XLRE
2018-06-20,72.89,177.16,"2,053.76",27.28,51.11,50.58,58.3,50.23,84.49,169.97,112.31,246.46,71.58,275.97,73.28,31.84
2018-06-21,71.54,175.62,"2,189.44",27.2,51.21,50.27,57.68,50.4,84.0,168.38,111.51,244.5,71.03,274.24,72.36,32.03
2018-06-22,72.97,175.23,"2,132.48",27.07,51.63,50.49,58.52,50.75,84.38,167.82,111.32,245.69,70.8,274.74,72.61,32.31
2018-06-25,71.5,171.28,"2,438.40",26.78,51.89,49.45,57.61,51.59,83.61,165.08,108.9,242.31,69.33,271.0,71.69,32.23
2018-06-26,72.4,171.98,"2,338.56",26.69,51.67,49.53,57.83,51.65,83.35,166.04,109.68,242.67,69.61,271.6,71.96,32.4
2018-06-27,73.38,169.64,"2,464.00",26.36,51.56,49.1,57.65,51.9,82.64,163.38,108.26,241.12,68.66,269.35,71.38,32.31
2018-06-28,73.28,171.1,"2,508.80",26.59,51.56,49.59,57.87,51.88,82.75,163.88,109.11,242.08,69.5,270.89,71.48,32.63
2018-06-29,73.73,171.56,"2,362.88",26.59,51.53,49.53,58.07,51.96,82.92,163.77,109.3,242.73,69.47,271.28,71.63,32.71
2018-07-02,72.65,172.71,"2,415.36",26.72,51.23,49.84,57.76,52.33,83.18,164.9,109.45,242.73,70.09,271.86,71.79,32.52
2018-07-03,73.1,170.71,"2,415.36",26.48,51.35,49.23,57.66,52.48,83.38,164.96,108.9,241.66,69.26,270.9,71.56,32.71
2018-07-05,73.03,172.83,"2,314.24",26.54,52.06,49.98,58.16,52.76,84.24,166.84,109.44,243.55,70.24,273.11,71.91,33.14
2018-07-06,73.47,175.52,"2,199.35",26.67,52.22,50.77,58.45,53.17,85.45,168.25,110.3,244.6,71.06,275.42,72.16,33.28
2018-07-09,74.57,177.1,"2,078.72",27.28,52.02,51.06,58.97,51.53,86.08,169.31,111.62,247.84,71.6,277.9,73.5,32.97
2018-07-10,75.12,177.23,"2,034.56",27.18,52.64,51.04,59.47,52.02,86.41,168.54,111.86,249.23,71.77,278.9,73.73,33.13
2018-07-11,73.53,176.33,"2,101.76",27.05,52.47,50.97,58.47,52.49,85.72,167.11,111.6,247.08,71.49,276.86,72.52,33.03
